Código do Nível Geográfico;Nível Geográfico;Código do Item Geográfico;Item Geográfico;Ordem Geográfica;Código do Item Temporal;Nível Temporal;Item Temporal;Residência em 31/07/2005, município;Residência em 31/07/2005, município (código);Residência em 31/07/2005, município (ordem);Frequência;Observações
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;LUNARDELLI;4113759;4113759;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;LUPIONÓPOLIS;4113809;4113809;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;MALLET;4113908;4113908;250;16
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;MAMBORÊ;4114005;4114005;108;15
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;MANDAGUAÇU;4114104;4114104;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;MANDAGUARI;4114203;4114203;186;13
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;MANDIRITUBA;4114302;4114302;1361;159
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;MANFRINÓPOLIS;4114351;4114351;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;MANGUEIRINHA;4114401;4114401;248;21
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;MANOEL RIBAS;4114500;4114500;151;17
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;MARECHAL CÂNDIDO RONDON;4114609;4114609;428;26
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;MARIA HELENA;4114708;4114708;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;MARIALVA;4114807;4114807;110;6
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;MARILÂNDIA DO SUL;4114906;4114906;147;12
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;MARILENA;4115002;4115002;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;MARINGÁ;4115200;4115200;2958;199
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;MARIÓPOLIS;4115309;4115309;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;MARIPÁ;4115358;4115358;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;MARMELEIRO;4115408;4115408;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;MARQUINHO;4115457;4115457;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;MATELÂNDIA;4115606;4115606;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;MATINHOS;4115705;4115705;2188;207
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;MAUÁ DA SERRA;4115754;4115754;174;14
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;MEDIANEIRA;4115804;4115804;347;23
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;MIRADOR;4115903;4115903;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;MOREIRA SALES;4116109;4116109;104;9
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;MORRETES;4116208;4116208;971;115
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;NOSSA SENHORA DAS GRAÇAS;4116406;4116406;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;NOVA AURORA;4116703;4116703;46;7
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;NOVA CANTU;4116802;4116802;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;NOVA ESPERANÇA;4116901;4116901;134;11
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;NOVA FÁTIMA;4117008;4117008;137;10
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;NOVA LARANJEIRAS;4117057;4117057;207;15
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;NOVA LONDRINA;4117107;4117107;45;7
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;NOVA SANTA BÁRBARA;4117214;4117214;136;10
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;NOVA SANTA ROSA;4117222;4117222;X;X
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;NOVA PRATA DO IGUAÇU;4117255;4117255;119;8
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;NOVA TEBAS;4117271;4117271;132;9
9233;Mesorregião (2010);4110;Metropolitana de Curitiba;1;2010;8030;31/07/2010;ORTIGUEIRA;4117305;4117305;335;25
