Código do Nível Geográfico;Nível Geográfico;Código do Item Geográfico;Item Geográfico;Ordem Geográfica;Código do Item Temporal;Nível Temporal;Item Temporal;Residência em 31/07/2005, município;Residência em 31/07/2005, município (código);Residência em 31/07/2005, município (ordem);Frequência;Observações
9235;Município (2010);4104204;CAMPO LARGO;12;2010;8030;31/07/2010;RIO BRANCO DO SUL;4122206;4122206;X;X
9235;Município (2010);4104204;CAMPO LARGO;12;2010;8030;31/07/2010;SÃO JOSÉ DOS PINHAIS;4125506;4125506;278;23
9235;Município (2010);4104253;CAMPO MAGRO;13;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;102;10
9235;Município (2010);4104253;CAMPO MAGRO;13;2010;8030;31/07/2010;ARAUCÁRIA;4101804;4101804;X;X
9235;Município (2010);4104253;CAMPO MAGRO;13;2010;8030;31/07/2010;CAMPINA GRANDE DO SUL;4104006;4104006;X;X
9235;Município (2010);4104253;CAMPO MAGRO;13;2010;8030;31/07/2010;CAMPO LARGO;4104204;4104204;157;15
9235;Município (2010);4104253;CAMPO MAGRO;13;2010;8030;31/07/2010;CAMPO MAGRO;4104253;4104253;850;90
9235;Município (2010);4104253;CAMPO MAGRO;13;2010;8030;31/07/2010;COLOMBO;4105805;4105805;X;X
9235;Município (2010);4104253;CAMPO MAGRO;13;2010;8030;31/07/2010;CURITIBA;4106902;4106902;1519;145
9235;Município (2010);4104253;CAMPO MAGRO;13;2010;8030;31/07/2010;PIRAQUARA;4119509;4119509;X;X
9235;Município (2010);4104253;CAMPO MAGRO;13;2010;8030;31/07/2010;RIO BRANCO DO SUL;4122206;4122206;X;X
9235;Município (2010);4104253;CAMPO MAGRO;13;2010;8030;31/07/2010;SÃO JOSÉ DOS PINHAIS;4125506;4125506;X;X
