Código do Nível Geográfico;Nível Geográfico;Código do Item Geográfico;Item Geográfico;Ordem Geográfica;Código do Item Temporal;Nível Temporal;Item Temporal;Idade calculada, anos, classe;Idade calculada, anos, classe (código);Idade calculada, anos, classe (ordem);Sexo;Sexo (código);Sexo (ordem);Residência em 31/07/2005, município;Residência em 31/07/2005, município (código);Residência em 31/07/2005, município (ordem);Frequência;Observações
9031;Grande região;3;Região Sudeste;3;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Masculino;1;1;FAZENDA RIO GRANDE;4107652;4107652;X;X
9031;Grande região;3;Região Sudeste;3;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Masculino;1;1;PIÊN;4119103;4119103;X;X
9031;Grande região;3;Região Sudeste;3;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Masculino;1;1;PINHAIS;4119152;4119152;X;X
9031;Grande região;3;Região Sudeste;3;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Masculino;1;1;PIRAQUARA;4119509;4119509;X;X
9031;Grande região;3;Região Sudeste;3;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Masculino;1;1;RIO NEGRO;4122305;4122305;X;X
9031;Grande região;3;Região Sudeste;3;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Masculino;1;1;SÃO JOSÉ DOS PINHAIS;4125506;4125506;X;X
9031;Grande região;3;Região Sudeste;3;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Masculino;1;1;TUNAS DO PARANÁ;4127882;4127882;X;X
9031;Grande região;3;Região Sudeste;3;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Masculino;1;1;DOUTOR ULYSSES;4128633;4128633;X;X
9031;Grande região;3;Região Sudeste;3;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Feminino;2;2;ADRIANÓPOLIS;4100202;4100202;X;X
9031;Grande região;3;Região Sudeste;3;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Feminino;2;2;ALMIRANTE TAMANDARÉ;4100400;4100400;X;X
9031;Grande região;3;Região Sudeste;3;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Feminino;2;2;ARAUCÁRIA;4101804;4101804;X;X
9031;Grande região;3;Região Sudeste;3;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Feminino;2;2;CAMPO LARGO;4104204;4104204;X;X
9031;Grande região;3;Região Sudeste;3;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Feminino;2;2;COLOMBO;4105805;4105805;X;X
9031;Grande região;3;Região Sudeste;3;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Feminino;2;2;CURITIBA;4106902;4106902;880;86
